theme,location,duration,startDate,startTime,endDate,endTime,img src,link,organizer,tags
Podcast推廣活動,線上,2023.10.27 (五) 00:00 - 2024.07.01 (一) 00:00,2023-10-27,00:00,2024-07-01,00:00,https://static.accupass.com/eventbanner/2310271615396111500760_P520x260.jpg,https://www.accupass.com/event/2310271619161237687720?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,鳥事一籮筐,"['有趣', '鳥事', '喜劇', 'podcast', '好笑']"
【卡米地笑星孵化學院】最初10堂星期日的站立喜劇課：Social 喜劇工作坊-2023秋季班第一/二階段,台北,2023.10.29 (日) 14:30 - 2024.01.14 (日) 17:30,2023-10-29,14:30,2024-01-14,17:30,https://static.accupass.com/eventbanner/2309120816031911674183_P520x260.jpg,https://www.accupass.com/event/2309120734041095774366?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,live comedy club taipei 卡米地喜劇俱樂部,"['站立喜劇', '卡米地喜劇俱樂部', 'covid-free', '脫口秀']"
喜劇開港脫口秀open mic (十二月場）,高雄,2023.12.01 (五) 20:00 - 12.29 (五) 22:00,2023-12-01,20:00,2023-12-29,22:00,https://static.accupass.com/eventbanner/2311271822262114321164_P520x260.jpg,https://www.accupass.com/event/2311250627177943451650?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,喜劇開港,"['covid-free', '高雄', '笑話', '脫口秀', '＃喜劇', '＃娛樂']"
Yes And 開放團練 12/19(二)、12/29(五)年末加開場 - 玩表演、練即興、別準備、來就對~ ｜ 台北最Easy的即興喜劇入門派對,台北,2023.12.05 (二) 19:30 - 12.29 (五) 21:30,2023-12-05,19:30,2023-12-29,21:30,https://static.accupass.com/eventbanner/2312061553451333223559_P520x260.jpg,https://www.accupass.com/event/2311250056312015620341?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,迷鹿即興排練場,"['派對.單身聯誼.', '即興', '迷鹿即興', '表演', '戲劇']"
2023｜十二月｜星期四 老鳥試段子｜單口喜劇 Open Mic,台北,2023.12.07 (四) 20:00 - 12.28 (四) 21:10,2023-12-07,20:00,2023-12-28,21:10,https://static.accupass.com/eventbanner/2309270840029369193420_P520x260.jpg,https://www.accupass.com/event/2311290959003587054020?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['單口喜劇', '美式喜劇', '脫口秀', '精釀啤酒']"
來福OPEN MIC 12月,台中,2023.12.07 (四) 19:30 - 12.28 (四) 21:30,2023-12-07,19:30,2023-12-28,21:30,https://static.accupass.com/eventbanner/2312051526374214440400_P520x260.jpg,https://www.accupass.com/event/2312051529161763346917?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,來福好事,"['台中現場喜劇', '現場喜劇', '台中脫口秀', '台中openmic', '台中單口喜劇']"
府城喜劇open mic | 中文單口喜劇、漫才 Open Mic、即興劇表演 | 十二月場,台南,2023.12.09 (六) 08:00 - 12.23 (六) 22:00,2023-12-09,08:00,2023-12-23,22:00,https://static.accupass.com/eventbanner/2311241011282621487490_P520x260.jpg,https://www.accupass.com/event/2311181439241435062685?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,府城喜劇,['covid-free']
爺奶萬萬說-銀髮素人脫口秀 台北場,台北,2023.12.15 (五) 19:00 - 12.17 (日) 16:30,2023-12-15,19:00,2023-12-17,16:30,https://static.accupass.com/eventbanner/2310120145441135104465_P520x260.jpg,https://www.accupass.com/event/2309110257163483030140?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,弘道老人福利基金會,"['單口喜劇', '免費', 'covid-free', '脫口秀', '演出', '台北']"
玩樂竹弋之快樂最重要,台北,2023.12.16 (六) 20:00 - 21:15,2023-12-16,20:00,2023-12-16,21:15,https://static.accupass.com/eventbanner/2309221409516319067490_P520x260.jpg,https://www.accupass.com/event/2309221413311867846243?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,3 cafe studio,"['即興', '短劇', '漫才', '笑料', '快樂']"
12月最後兩場 魔術X解謎X即興【古代魔術師的口袋秘密】,台北,2023.12.16 (六) 19:30 - 12.23 (六) 20:40,2023-12-16,19:30,2023-12-23,20:40,https://static.accupass.com/eventbanner/2312081836133468827370_P520x260.jpg,https://www.accupass.com/event/2311261713231468274865?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,原色魔術劇場,"['沉浸式體驗', '魔術', '表演', '喜劇', '聊天']"
JIM 程建評｜單口喜劇專場《上帝已死》Try Out｜@23comedy,台北,2023.12.16 (六) 20:00 - 21:00,2023-12-16,20:00,2023-12-16,21:00,https://static.accupass.com/eventbanner/2311021400292379126380_P520x260.jpg,https://www.accupass.com/event/2312100929087954724130?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['單口喜劇', '上帝已死', '脫口秀', 'jim']"
即興實驗室 12月號!,高雄,2023.12.16 (六) 19:00 - 21:00,2023-12-16,19:00,2023-12-16,21:00,https://static.accupass.com/eventbanner/2311271852432142229072_P520x260.jpg,https://www.accupass.com/event/2311271836311669300931?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,喜劇開港,"['高雄', '即興喜劇', '創作', '表演', '＃喜劇']"
2023｜十二月 漫才 Open Mic｜眾多漫才組合｜聯合出擊,台北,2023.12.17 (日) 20:00 - 22:00,2023-12-17,20:00,2023-12-17,22:00,https://static.accupass.com/eventbanner/2212240336391535643470_P520x260.jpg,https://www.accupass.com/event/2311291010191528976871?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['現場喜劇', '漫才', '精釀啤酒']"
爺奶萬萬說-銀髮素人脫口秀 台中場,台中,2023.12.22 (五) 19:00 - 12.24 (日) 16:30,2023-12-22,19:00,2023-12-24,16:30,https://static.accupass.com/eventbanner/2310120251161035479880_P520x260.jpg,https://www.accupass.com/event/2310050454381538656090?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,弘道老人福利基金會,"['單口喜劇', '免費', 'covid-free', '脫口秀', '演出', '台中']"
即興府城-聖誕不剩單,台南,2023.12.23 (六) 15:00 - 17:00,2023-12-23,15:00,2023-12-23,17:00,https://static.accupass.com/eventbanner/2312120131468242441290_P520x260.jpg,https://www.accupass.com/event/2312120135141032810483?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,府城喜劇,['covid-free']
二三喜劇四週年慶｜《搖喜劇》｜單口喜劇＋調酒,台北,2023.12.23 (六) 20:00 - 21:30,2023-12-23,20:00,2023-12-23,21:30,https://static.accupass.com/eventbanner/2312071321551452968865_P520x260.jpg,https://www.accupass.com/event/2312041641471036417936?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['單口喜劇', '調酒', '精釀啤酒']"
【卡米地笑星孵化學院】職場社畜求生法則 「上班族站立喜劇課」、「有趣的簡報課」   (職場激笑魔法師-艾董 授課),台北,2023.12.23 (六) 10:00 - 2024.01.06 (六) 17:00,2023-12-23,10:00,2024-01-06,17:00,https://static.accupass.com/eventbanner/2311020302562255606660_P520x260.jpg,https://www.accupass.com/event/2311020259581260062495?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,live comedy club taipei 卡米地喜劇俱樂部,"['站立喜劇', '上班族', '艾董', '脫口秀']"
迷鹿聖誕同樂會(12/23) - 台北最Easy的即興喜劇入門派對,台北,2023.12.23 (六) 13:00 - 18:30,2023-12-23,13:00,2023-12-23,18:30,https://static.accupass.com/eventbanner/2311260937532015071097_P520x260.jpg,https://www.accupass.com/event/2311260228431241254821?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,迷鹿即興排練場,"['即興', '表演', '派對聯誼', '喜劇', '戲劇']"
浪你笑S４_喜劇拼盤秀,高雄,2023.12.23 (六) 19:00 - 21:00,2023-12-23,19:00,2023-12-23,21:00,https://static.accupass.com/eventbanner/2312061821291794331461_P520x260.jpg,https://www.accupass.com/event/2312061815256671258430?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,喜劇開港,"['covid-free', '高雄', '笑話', '脫口秀', '＃喜劇', '＃娛樂']"
二三喜劇｜🎄聖誕節特別企劃｜《暴笑悲劇王》,台北,2023.12.24 (日) 20:00 - 21:00,2023-12-24,20:00,2023-12-24,21:00,https://static.accupass.com/eventbanner/2312041636121073614905_P520x260.jpg,https://www.accupass.com/event/2312041624181984534158?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['精釀啤酒', '聖誕節', '喜劇']"
12/27老手交流會─大家一起來討論!!﹝6-46-18-48的交叉與動機﹞,線上,2023.12.27 (三) 20:30 - 21:30,2023-12-27,20:30,2023-12-27,21:30,https://static.accupass.com/eventbanner/2311271724167393286860_P520x260.jpg,https://www.accupass.com/event/2311200225521220451127?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,人類健康設計學院─墨客人類圖,"['人類圖', '特質', '墨客', '喜劇', '商學院']"
【12/28】12月場大稻埕紅酒喜劇做起來！OPEN MIC,台北,2023.12.28 (四) 19:30 - 21:30,2023-12-28,19:30,2023-12-28,21:30,https://static.accupass.com/eventbanner/2311290724044198551400_P520x260.jpg,https://www.accupass.com/event/2311290647141593316952?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,喝喝 wine hēhē,['covid-free']
【宿醉懶覺】12月台北喜劇｜微醺喜劇拼盤秀＋萬華喜劇散步｜落語、民間譚、站立喜劇一次滿足,台北,2023.12.29 (五) 20:00 - 12.30 (六) 23:00,2023-12-29,20:00,2023-12-30,23:00,https://static.accupass.com/eventbanner/2311211708391628563809_P520x260.jpg,https://www.accupass.com/event/2311201556131772470160?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,開樂亭凡笑,['covid-free']
【方格村】12/29墨應系訂閱讀者【專屬】線上交流會 - 探索智慧的交匯點！,線上,2023.12.29 (五) 20:30 - 21:30,2023-12-29,20:30,2023-12-29,21:30,https://static.accupass.com/eventbanner/2305230033271925019270_P520x260.jpg,https://www.accupass.com/event/2311200226121119614521?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,人類健康設計學院─墨客人類圖,"['人類圖', '特質', '墨客', '喜劇', '商學院']"
現場馬拉桑秀-01,新竹,2023.12.30 (六) 19:30 - 21:00,2023-12-30,19:30,2023-12-30,21:00,https://static.accupass.com/eventbanner/2311140539501955022628_P520x260.jpg,https://www.accupass.com/event/2311130854431577803259?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,站立風城,"['站立喜劇', '現場喜劇', '餐廳秀', 'covid-free', '脫口秀', '精釀啤酒']"
三咖啡喜劇夜 - 吃土也曜笑,台北,2023.12.30 (六) 20:00 - 21:30,2023-12-30,20:00,2023-12-30,21:30,https://static.accupass.com/eventbanner/2311131511211742525100_P520x260.jpg,https://www.accupass.com/event/2311131513081855311917?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,3 cafe studio,"['漫才', '脫口秀', '喜劇']"
Mohammed Magdi｜Stand Up Comedy Show｜＠twothreecomedy,台北,2024.01.12 (五) 21:30 - 23:30,2024-01-12,21:30,2024-01-12,23:30,https://static.accupass.com/eventbanner/2312100926401236712906_P520x260.jpg,https://www.accupass.com/event/2312100848466012031510?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['standupcomedy', '單口喜劇', 'craftbeer']"
( 線上課程 ) 2024/ 1/18(四)、1/25(四)【YES AND即興接話回應術】歐耶老師,線上,2024.01.18 (四) 19:30 - 01.25 (四) 22:30,2024-01-18,19:30,2024-01-25,22:30,https://static.accupass.com/eventbanner/2311271038381576736770_P520x260.jpg,https://www.accupass.com/event/2311241006371998746192?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,起初,"['說話', '穿透力', '起初', '幽默', '笑話', '歐耶', '貴人', '感動', '課程', '講座']"
( 線上課程 ) 2024/ 2/27(二)  跟歐耶老師學【幽默魅力】,線上,2024.02.27 (二) 19:30 - 22:00,2024-02-27,19:30,2024-02-27,22:00,https://static.accupass.com/eventbanner/2301050855481594765545_P520x260.jpg,https://www.accupass.com/event/2311241008371778149267?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,起初,"['說故事', '說話', '穿透力', '起初', '幽默', '表達', '笑話', '歐耶', '貴人', '感動', '課程', '講座', '動作表達']"
( 線上課程 ) 2024/3/5(二) 跟歐耶老師學【故事設計】,線上,2024.03.05 (二) 19:30 - 22:00,2024-03-05,19:30,2024-03-05,22:00,https://static.accupass.com/eventbanner/2301050855309650673730_P520x260.jpg,https://www.accupass.com/event/2311241009228772537360?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,起初,"['說故事', '說話', '起初', '動聽', '故事', '歐耶', '感動', '課程', '打動人心', '動作表達']"
( 線上課程 ) 2024/ 3/12(二) 跟歐耶老師學【故事表達】,線上,2024.03.12 (二) 19:30 - 22:00,2024-03-12,19:30,2024-03-12,22:00,https://static.accupass.com/eventbanner/2301050855071615783926_P520x260.jpg,https://www.accupass.com/event/2311241009398136342280?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,起初,"['說故事', '說話', '起初', '心坎裡', '動聽', '表達', '歐耶', '貴人', '感動', '課程', '講座', '打動人心', '動作表達']"
Sheng Wang｜Stand Up Comedy Show｜＠twothreecomedy,台北,2024.03.15 (五) 21:30 - 03.16 (六) 20:30,2024-03-15,21:30,2024-03-16,20:30,https://static.accupass.com/eventbanner/2311190859211570318430_P520x260.jpg,https://www.accupass.com/event/2311190858421178560973?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['standupcomedy', '單口喜劇', 'craftbeer']"
菜冠雙頭｜《天空島》｜菜冠雙頭2024春季！ 全新漫才專場來啦！,台北,2024.03.23 (六) 15:00 - 03.30 (六) 21:30,2024-03-23,15:00,2024-03-30,21:30,https://static.accupass.com/eventbanner/2311241156137360168010_P520x260.jpg,https://www.accupass.com/event/2311241057341412317998?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,['covid-free']
